Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,interaction,Time to Initiate Action,Time after Ending Action,Callout,Condition Type,Condition Function,Monitor Scope
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,Alarm,ANNOUNCE,yellow,yellow,green,,Human must see TARS's alarm status.,,Human can confirm TARS's alarm callout via voice command.,"Engine status, alarm type, current flight phase.",,0,5,,transition,is_alarm,next_task
ENG FAILURE DURING TAKEOFF,EMER,SOP,Switch / Lever,Master Warning,RESET,green,red,red,,,,,"Engine status, Master Warning status, ATC frequency.",,0,is_sensed,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,yellow,green,green,,TARS displays current flight director mode and status changes to pilot.,TARS communicates intended flight director mode changes before execution.,Pilot can override or confirm TARS's flight director mode changes via voice command.,"Current flight director mode, engine status, autopilot engagement.",,2,2,"Flight director on, takeoff mode",,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,yellow,red,red,,,,,"Current pitch angle, engine status, autopilot engagement.",,0,is_sensed,,continuous,is_pitch_maintained,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,yellow,yellow,red,,TARS displays gear status and alerts pilot of any anomalies.,,,"Engine status, gear position, airspeed, altitude.",,0,is_sensed,,continuous,is_gear_up,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Airspeed,CHECK V2,yellow,yellow,green,,TARS displays current airspeed and V2 status to pilot.,,,"Current airspeed, V2 speed, engine status.",,0,is_sensed,,continuous,is_airspeed_v_two,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Check,SAFE ALTITUDE REACHED,yellow,green,green,,Performer must callout safe altitude reached,,,"Current altitude, agreed safe altitude",,0,is_sensed,,continuous,is_safe_altitude,end_of_procedure
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,green,yellow,red,,TARS monitors pilot's throttle actions. TARS can help announce the side of the thrust lever and the action to conduct. The pilot must callout the action,,,"Engine status, throttle position, fire warning.",,0,is_sensed,,continuous,is_throttle_idle,end_of_procedure
ENGINE FIRE,EMER,SOP,Switch / Lever,Chrono,START,green,,green,,"The performer must callout the action, TARS must display the chrono status",HUMAN should know when the timer is set off.,Pilot can override or redirect TARS actions via voice commands.,"Engine status, fire detection, extinguisher status, ATC communication status.",,5,is_acked,"Three, Two, One, top Chrono",,,
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,yellow,yellow,green,,TARS must display the chrono status and engine fire light status,,,"Engine fire status, checklist progress, TARS action log.",,15,is_acked,,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,green,red,red,,TARS monitors pilot's actions. HUMAN must callout the action,,,"Engine fire status, TARS communication readiness, ATC frequency.",,0,5,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET SPD MODE,green,,green,,TARS must display autopilot mode changes to the pilot.,TARS should indicate upcoming autopilot adjustments.,Pilot can override TARS autopilot settings via voice command.,"Current airspeed, target speed, engine status.",,0,5,"Set Speed mode, FLC V two",,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,green,,green,,Human sees TARS autopilot mode changes.,Human anticipates TARS heading adjustments.,Human commands TARS via voice for heading changes.,"Current heading, target heading, engine status.",,0,5,Set heading mode,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,yellow,yellow,orange,orange,Performer must callout the action. TARS displays autopilot status changes to pilot.,Pilot anticipates TARS's autopilot engagement sequence.,Pilot can override TARS's autopilot actions via command.,"Engine status, autopilot mode, runway length remaining.",,is_acked,5,Autopilot Engaged,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,yellow,yellow,green,,TARS displays current altitude.,,,"Altitude, engine status, autopilot mode, ATC clearance.",,0,3,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,yellow,yellow,green,,TARS displays airspeed and V2+10 status to pilot.,,,"Current airspeed, V2+10 target, engine status.",,0,3,,continuous,is_v2_plus_10,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,yellow,red,red,,,,,"Engine status, obstacle proximity, runway length, weather conditions.",,0,5,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,yellow,yellow,red,,TARS can support by calling out the action.,,,"Flap handle position, engine status, airspeed.",,0,is_sensed,Retract Flaps,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,yellow,yellow,orange,orange,TARS must display ATC communication status to the pilot.,Pilot must anticipate TARS's next ATC message.,Pilot can override TARS's ATC communication with voice command.,"Engine status, ATC frequency, emergency checklist.",allow_comm,10,is_acked,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,yellow,red,red,,,,,"Engine status, runway length remaining, ATC frequency.",,5,is_acked,"""Mayday, Mayday, Mayday,  Cessna Papa Oscar Lima Yankee, engine fire, continuing {heading}, two souls on board.""",,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays current checklist step and expected worklow. ,TARS anticipates pilot's checklist step confirmations; pilot expects TARS to announce next steps.,Pilot can override or modify TARS actions via voice command. pilot confirms checklist initiation.,"Engine temperature, fire detection status, fuel shutoff valve position.",prompt_start_checklist,5,is_acked,Starting ENGINE FIRE Emergency Checklist,,,
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,green,red,red,,Pilot confirms,,,"Engine temperature, pressure, fire detection status, checklist steps.",immediate_action_items,0,is_acked,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,yellow,yellow,red,,TARS can support the pilot by calling out the action,,,"Engine fire alert, throttle position, engine temperature.",,0,is_sensed,,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,yellow,yellow,red,,TARS can support the pilot by calling out the action,,,"Engine fire status, fuel boost switch position.",,0,is_sensed,Affected engine fuel boost confirm OFF,transition,is_fuel_boost_off,next_task
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),NORM,yellow,yellow,red,,TARS can support the pilot by calling out the action,,,"Engine fire status, fuel boost switch position, checklist progress.",,0,is_sensed,Affected engine fuel boost confirm NORM,transition,is_fuel_boost_norm,next_task
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,yellow,yellow,green,,TARS must display checklist progress and status to the pilot.,,,"Engine status, FIRE LIGHT status, checklist steps.",,1,10,Thirty seconds light remains on. bottle discharge,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,green,red,red,,The pilot must callout the action,,,"Engine fire status, BOTTLE ARMED switch position.",,0,is_acked,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Rotary Test,FIRE WARN,green,red,red,,TARS monitors pilot's actions.,,,"FIRE WARN status, engine parameters, ATC frequency.",,0,is_sensed,,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, TARS communication status.",,0,is_acked,,,,
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress; pilot confirms task completion.,TARS anticipates pilot's checklist initiation; ,Pilot can postpone the execution,"Engine status, fire indicators, checklist steps, ATC communication status.",prompt_next_checklist,5,is_acked,Next checklist: Engine Failure / Precautionary Shutdown,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,green,red,red,,TARS must display checklist progress to the pilot.,,,"Engine status, fire indicators, checklist steps.",end_emer,0,0,,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,ANNOUNCE EMERGENCY,yellow,green,orange,orange,TARS must display ATC communication message to the pilot.,Pilot must anticipate TARS's emergency declaration timing.,Pilot can override or confirm TARS's emergency declaration.,"Current aircraft status, ATC frequency, emergency nature.",allow_comm,10,is_acked,"Pan-Pan, Pan-Pan, Pan-Pan, Montreal Tower, Cessna Papa Oscar Lima Yankee, single engine operation after engine failure",,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,REQUEST VECTOR,yellow,green,orange,orange,TARS must display ATC communication message to the pilot.,Pilot must anticipate TARS's next communication with ATC.,Pilot can override or confirm TARS's actions via voice command.,"Current flight path, emergency status, ATC frequency, vector instructions.",add_request_vector,5,5," requesting vectors for immediate return, runway {runway_number},  two souls on board",,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,READBACK,yellow,red,red,,,,,"Emergency type, location, altitude, heading, fuel status.",,0,is_acked,,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,yellow,yellow,red,,TARS displays autopilot status;,,Pilot commands TARS to adjust heading;,"Current heading, desired heading, emergency status, ATC communication status.",,0,is_acked,,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,FLC,SET ACCORDINGLY,yellow,yellow,red,,TARS displays autopilot status;,,Pilot commands TARS to adjust FLC;,"Current flight level, emergency type, ATC frequency, autopilot status.",,0,is_acked,,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress and status updates to pilot.,Pilot anticipates TARS's checklist sequence and timing.,Pilot can postpone checklist execution.,"Aircraft configuration, engine status, flight path, checklist items.",prompt_start_checklist,5,is_acked,Starting After Takeoff Normal Checklist,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,green,green,red,,TARS must display gear status.,,,"Gear status, airspeed, altitude.",,0,is_sensed,,continuous,is_gear_retracted,end_of_procedure
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 10,yellow,yellow,green,,Human sees TARS' airspeed checks and status updates.,,,"Current airspeed, V2 speed, aircraft configuration.",,0,is_sensed,,,,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,yellow,yellow,red,,,,,"Obstacle proximity, aircraft altitude, climb rate.",,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,green,green,red,,TARS must display flap status.,Human must anticipate TARS's verbal reminders for flap retraction.,,"Flap position, airspeed, altitude, and climb rate.",,0,is_sensed,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,green,green,red,,TARS must display throttle detent status to pilot.,,,"Throttle position, climb rate, engine performance data.",,0,is_sensed,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,yellow,green,yellow,yellow,TARS displays yaw damper status changes to pilot.,TARS anticipates pilot's yaw damper adjustments.,Pilot commands TARS to adjust yaw damper settings.,"Yaw damper status, aircraft attitude, flight phase.",yaw_damper_as_desired,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,yellow,green,red,,TARS displays anti-ice system status; pilot confirms visual indicators.,TARS alerts pilot of potential anti-ice activation needs.,,"Outside air temperature, wing surface status, system activation status.",anti_ice_systems_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,yellow,green,red,,TARS must display PAX SAFETY switch status to pilot and requirement.,,,"PAX SAFETY switch position, checklist status.",pax_safety_switch_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,yellow,green,red,,TARS must display landing light status to the pilot and requirement.,Pilot must anticipate TARS's reminders for landing light status.,,"Landing light switch position, current flight phase.",landing_light_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,green,green,green,,TARS displays pressurization status to pilot.,TARS anticipates pilot's pressurization check initiation.,,"Cabin altitude, differential pressure, system status.",,2,2,Pressurization Checked,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,green,green,green,,TARS displays altimeter setting changes; pilot confirms via cockpit display.,"TARS anticipates pilot's altimeter setting, pilot anticipates TARS altimeter setting",Pilot commands TARS to set altimeter to standard pressure.,"Current altitude, transition altitude, standard pressure setting.",,,5,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,green,green,red,,"Human must confirm crosscheck.",,,"Current altimeter setting, transition altitude.",,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,green,green,green,,TARS displays checklist status; pilot confirms task completion visually/audibly.,TARS anticipates pilot's checklist completion cues; pilot expects TARS to announce.,,"Checklist items, task status, aircraft configuration.",,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, autopilot mode, ATC communication status.",prompt_next_checklist,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, fuel levels, system alerts.",prompt_start_checklist,5,5,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,yellow,yellow,red,,TARS displays engine status and monitor pilot's actions.,,,"Engine RPM, fuel flow, oil pressure, and temperature.",,0,is_sensed,,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,green,green,green,,,,Pilot can override TARS actions; TARS prompts pilot for confirmation.,"Engine status, checklist steps, ATC communication status, autopilot engagement.",,0,45,"""If possible, the engines should remain at idle for a minimum of two minutes prior to shutdown to allow the engine inter-turbine temperatures to stabilize and avoid turbine blade rub.
If the engine windmills for more than fifteen minutes without a positive indication of oil pressure, a notation is required in the engine logbook and the engine must be inspected in accordance with the
pratt and whitney engine maintenance manual.
If the engine windmills for more than fifteen minutes with the firewall shutoff closed or the boost pump turned off, the engine fuel pump must be inspected in accordance with the Pratt and Whitney Engine
Maintenance Manual.""",,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,green,green,red,,TARS displays GEN switch status and monitor pilot's actions.,,,"GEN switch status, engine parameters, checklist steps.",,0,is_sensed,GEN Switch {affected side} OFF,transition,is_gen_switch_off,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,green,green,red,,TARS displays IGN switch status and monitor pilot's actions.,,,"Ignition switch status, engine performance data.",,0,is_sensed,GEN Switch {affected side} NORM,transition,is_ignition_switch_norm,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),yellow,yellow,red,,TARS must display current electrical load and recommendations.,Human must anticipate TARS's suggestions for load reduction.,Human can command TARS to suggest specific load reduction actions.,"Current electrical load, available systems to shed, load reduction targets.",,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,yellow,yellow,red,,TARS must display fuel transfer status to pilot.,,,"Fuel levels, transfer knob position, engine status.",,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,green,green,green,,Human sees TARS status on ENGINE FIRE switch engagement.,Human anticipates TARS will verify switch engagement.,Human can override TARS actions via verbal command.,"ENGINE FIRE switch status, engine parameters.",,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,green,green,green,,TARS displays checklist progress.,TARS anticipates pilot's checklist initiation.,Pilot can command TARS to adjust checklist priorities; TARS suggests checklist priorities.,"Engine status, checklist steps, autopilot settings, ATC communications.",prompt_next_checklist,0,is_acked,"Checklist finished, Next checklist Single-Engine approach and landing",,,
,,,,,,,,,,,,,,,,,,,,
