Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,interaction,Time to Initiate Action,Time after Ending Action,Callout,TARS Performer Role,TARS Supporter Role,Condition Type,Condition Function,Monitor Scope
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,green,green,red,,TARS must display sensed light switch status.,Pilot expects TARS to suggest if it is suggested based on time of day.,,"Current runway conditions, weather, and aircraft status.",landing_light_as_required,0,is_acked,,,TARS will suggest decision,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,green,green,orange,orange,TARS display ANTI-COLL light switch status to pilot.,Pilot expects TARS to alert if ANTI-COLL light switch is off.,,"ANTI-COLL light switch position, checklist status.",anti_coll_light_switch,0,6,,TARS will autocheck when Anti-coll Lights Switch is ON,TARS will display sensed Anti-coll Lights switch position,,,
BEFORE TAKEOFF,NORM,Checklist,Parameter Check,EICAS,CHECKED,yellow,red,red,,,,,EICAS visible,,0,is_acked,,,,,,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,green,green,yellow,yellow,TARS displays and announce available wind data and status. Pilot can enrich by crosschecking with visual information,,Both can perform in parallel and crosscheck,"Wind speed, direction, runway alignment.",display_winds_and_ack,4,0,"Wind report from METAR : wind calm, 120 degrees at 4 knots","TARS will announce and display available wind data from METAR, ATIS and takeoff clearance and will compute crosswind component",TARS will display METAR and allow to listen to ATIS,,,
LINE-UP AND HOLD,NORM,SOP,Autopilot Mgmt,Select Altitude,PRESET AS CLEARED,yellow,yellow,yellow,yellow,,,,ATC clearance,alt_preset_as_cleared,0,6,,TARS will preset altitude as cleared by ATC,TARS will display altitude clearance given by ATC,,,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,yellow,red,red,,,,,"CAS status, system alerts, checklist progress.",,0,is_acked,,,,,,
TAKEOFF,NORM,Checklist,Flight Control,THROTTLES,TO Detent,green,green,red,,The performer must callout the action before executing it and after execution,,,"Throttle position, engine parameters, runway conditions.",display_fadec,0,is_acked,,,"TARS will recap the takeoff speeds and its role (e.g. I will announce airspeed's alive, v1, etc...) will sense and continue to next item",continuous,is_thrust_toga,
TAKEOFF,NORM,Checklist,System Check,FADEC bug,CHECK TO,yellow,yellow,green,,TARS displays FADEC status changes to pilot.,,TARS direct human to RTO if FADEC fails,"FADEC status, engine parameters, TARS action log.",display_eng_spool_evenly,1,1,FADEC normal,TARS will check than callout FADEC status and continue to next item,TARS will display FADEC status and continue to next item,continuous,is_fadec_bug_to,end_of_procedure
TAKEOFF,NORM,Checklist,System Check,Engine spool,CHECK EVEN,yellow,yellow,green,,Human sees TARS status on engine checks; TARS sees human's manual inputs.,,TARS direct human to RTO if engine spool is not even,"Engine RPM, temperature, pressure, and spool rate.",display_n1_matches_command_bug,3,2,,TARS will check than callout Engine spool and continue to next item,TARS will display engine spool and continue to next item,continuous,is_engine_spool_even,end_of_procedure
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,yellow,,green,,TARS must display airspeed. Pilot must be able to hear announcement,"Pilot must anticipate TARS's ""Airspeed's alive"" announcement timing.",,"Current airspeed, runway conditions, aircraft weight.",,0,0,Airspeed is alive,"TARS will callout ""Airspeed's alive"" and continue to next item",TARS will continue to next item,transition,is_airspeed_alive,next_task
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""70 kts"" announcement.","Human expects TARS to announce ""70 kts"" at correct speed.",,"Airspeed, current phase of takeoff.",,0,0,seventy knots,"TARS will callout ""70 kts"" and continue to next item",TARS continue to next item,transition,is_seventy_kts,next_task
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""V1"" announcement.","TARS announces ""V1"" timing based on takeoff speed and runway conditions.",,"Current airspeed, runway length, aircraft weight, wind conditions.",,0,0,V1,"TARS will callout ""V1"" and continue to next item",TARS will display V1 value and continue to next item,transition,is_v_one,next_task
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""ROTATE"" announcement.","TARS announces ""ROTATE"" timing based on takeoff speed and runway conditions.",,"Airspeed, runway length, aircraft weight, wind conditions.",,0,0,Rotate,"TARS will callout ""Rotate""",TARS will display VR value and continue to next item,transition,is_v_rotate,next_task
TAKEOFF,NORM,Checklist,Flight Control,Pitch,MAINTAIN 10°,yellow,yellow,red,,,,,"Current pitch angle, target pitch, airspeed, altitude.",,3,0,,,"TARS will callout ""pitch angle low"" if the pitch is inferior to 10° then continue to next item",transition,is_pitch_maintained,end_of_procedure
TAKEOFF,NORM,Checklist,Parameter Check,Climb rate,CHECK POSITIVE,yellow,,green,,The performer must announce the result of the check and the subsequent action,,,"Current climb rate, target climb rate, altitude, airspeed.",,0,1,,"TARS will check climb rate and callout ""Positive rate"" then continue to next item",TARS will continue to the next item,transition,is_positive_rate,next_task
TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR,UP,green,green,red,,TARS confirms pilot's gear action.,,,"Gear position, airspeed, altitude, climb rate.",,0,1,Gear up,,"TARS will callout ""GEAR UP"" then autocheck item",transition,is_gear_up,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Navigation,Climb,TO A SAFE ALTITUDE,yellow,yellow,red,,TARS displays agreed safe altitude (1500ft),,,,eng_failure_aft_v1_memo_items,2,2,Climb to {SAFE_ALTITUDE} aim for {V_ENR} knots,,TARS announce safe altitude value then autocheck when safe altitude is passed,continuous,is_safe_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,yellow,green,green,,TARS displays current flight director mode and status changes to pilot.,TARS communicates intended flight director mode changes before execution.,Pilot can override or confirm TARS's flight director mode changes via voice command.,"Current flight director mode, engine status, autopilot engagement.",,1,2,"Flight director on, takeoff mode",TARS will announce then set Flight Director to TakeOff mode then continue to next item,TARS will display item then continue,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,yellow,yellow,red,,,,,"Current pitch angle, engine status, autopilot engagement.",eng_failure_aft_v1_memo_items,0,2,Maintain {TO_PITCH} degrees,,"TARS will callout ""pitch angle low"" if the pitch is inferior to 10° then continue to next item",continuous,is_pitch_maintained,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,yellow,yellow,red,,TARS displays gear status and alerts pilot of any anomalies.,,,"Engine status, gear position, airspeed, altitude.",eng_failure_aft_v1_memo_items,0,2,,,TARS will check L/G status and announce and autocheck when landing gear is UP,continuous,is_gear_up,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Airspeed,CHECK V2,yellow,yellow,green,,TARS displays current airspeed and V2 status to pilot.,,,"Current airspeed, V2 speed, engine status.",eng_failure_aft_v1_memo_items,0,2,Aim for {V_ENR} knots,TARS will check airspeed compared to V2 and remind to target it if necessary then continue to next item,TARS will display V2 value,continuous,is_airspeed_v_two,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Control,Rudder,TRIM,yellow,green,orange,orange,"TARS displays rudder trim status. TARS display its own adjustments, TARS announce each trim input",TARS announces intended rudder trim adjustments before execution. TARS always execute the equivalent of a single input on the electric trim,Pilot can override or adjust TARS rudder trim actions via voice command.,"Engine status, current rudder trim position, airspeed, and yaw rate.",allow_trim_rudder,10,5,Trim rudder for {engine_failed_side} engine failure.,"TARS will prompt and wait for approval to trim rudder, TARS will announce trim direction then trim while displaying updates then continue to next item",TARS will display trim direction then continue to next item,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET SPD MODE,green,green,green,,TARS must display autopilot mode changes to the pilot.,TARS should indicate upcoming autopilot adjustments.,Pilot can override TARS autopilot settings via voice command.,"Current airspeed, target speed, engine status.",,0,5,Arming Speed mode to FLC {V_ENR} knots,"TARS will announce intention, wait 5 seconds, then arm SPD mode to FLC V2 then announce action done",TARS will display V2 value and cleared altitude,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,green,green,green,,Human sees TARS autopilot mode changes.,Human anticipates TARS heading adjustments.,Human commands TARS via voice for heading changes.,"Current heading, target heading, engine status.",,0,5,Arming heading mode to {RUNWAY_HEADING} degrees,"TARS will announce intention, wait 5 seconds, then arm HDG mode to runway heading then announce action done",TARS will display runway heading,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,yellow,green,orange,orange,Performer must callout the action. TARS displays autopilot status changes to pilot.,Pilot anticipates TARS's autopilot engagement sequence.,Pilot can override TARS's autopilot actions via command.,"Engine status, autopilot mode, runway length remaining.",allow_engage_ap,1,3,Will engage autopilot on your approval,"TARS will prompt and wait for approval to engage autopilot, then TARS will engage autopilot and announce action done",Tars will announce autopilot can be engaged,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,Alarm,ANNOUNCE,yellow,yellow,green,,Human must see TARS's alarm status.,,Human can confirm TARS's alarm callout via voice command.,"Engine status, alarm type, current flight phase.",,0,5,"Alarm {engine_failed_side} Engine Fire, low oil pressure {engine_failed_side} do you confirm?",TARS will announce Alarm then continue to next item,TARS will display alarm then continue to next item if master warning is pushed,transition,is_alarm,next_task
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Check,SAFE ALTITUDE REACHED,yellow,yellow,green,,Performer must callout safe altitude reached,,,"Current altitude, agreed safe altitude",eng_failure_aft_v1_memo_items,0,is_acked,Safe altitude {SAFE_ALTITUDE} feet reached,TARS will announce safe altitude reached then continue to next item,TARS will display safe altitude value ,continuous,is_safe_altitude,end_of_procedure
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,yellow,yellow,red,,TARS monitors pilot's throttle actions. TARS can help announce the side of the thrust lever and the action to conduct. The pilot must callout the action,,,"Engine status, throttle position, fire warning.",engine_fire_memo_items,0,is_acked,Throttle {engine_failed_side} engine IDLE,,TARS will announce affected engine side and alert if wrong throttle is adjusted during the task and autocheck,continuous,is_throttle_idle,end_of_procedure
ENGINE FIRE,EMER,SOP,Switch / Lever,Chrono,START,yellow,,green,,"The performer must callout the action, TARS must display the chrono status",HUMAN should know when the timer is set off.,Pilot can override or redirect TARS actions via voice commands.,"Engine status, fire detection, extinguisher status, ATC communication status.",engine_fire_memo_items,4,0,"Three, Two, One, top Chrono",TARS will announce countdown for TOP chrono then set the Chrono,,,,
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,yellow,yellow,red,,TARS must display the chrono status and engine fire light status,,,"Engine fire status, checklist progress, TARS action log.",engine_fire_memo_items,15,is_acked,"15 seconds. If illuminated ENGINE FIRE Light is ON, Engine Fire Switch Lift Cover and Push",,TARS will display a timer and continue to next item after the time is up,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,yellow,yellow,red,,TARS monitors pilot's actions. HUMAN must callout the action,,,"Engine fire status, TARS communication readiness, ATC frequency.",engine_fire_memo_items,0,5,,,TARS will announce failed engine side,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,yellow,yellow,green,,TARS displays current altitude.,,,"Altitude, engine status, autopilot mode, ATC clearance.",,0,3,Altitude superior to {SAFE_ALTITUDE} feet,TARS will check safe altitude reached and continue to next item,TARS will display safe altitude value,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,yellow,yellow,green,,TARS displays airspeed and V2+10 status to pilot.,,,"Current airspeed, V2+10 target, engine status.",,0,1,,TARS will check airspeed is sufficient and callout if it is not,TARS will display target airspeed value,continuous,is_v2_plus_10,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,yellow,red,red,,,,,"Engine status, obstacle proximity, runway length, weather conditions.",,0,1,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,green,,green,,TARS can support by calling out the action.,,,"Flap handle position, engine status, airspeed.",,0,is_acked,Retract Flaps,TARS will announce intention then set flaps to takeoff position fifteen degrees then confirm done,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,yellow,yellow,orange,orange,TARS must display ATC communication status to the pilot.,Pilot must anticipate TARS's next ATC message.,Pilot can override TARS's ATC communication with voice command.,"Engine status, ATC frequency, emergency checklist.",allow_comm,5,1,"""Mayday, Mayday, Mayday,  Cessna Papa Oscar Lima Yankee, engine fire, {altitude} feet, continuing {heading} degrees heading, two souls on board.""","TARS will prompt and wait for approval to contact ATC to announce MAYDAY, TARS will display the message and frequency, then emit the message",TARS will display a standard mayday message with current flight information,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,yellow,yellow,yellow,yellow,,,,"Engine status, runway length remaining, ATC frequency.",,1,1,"""Cessna Papa Oscar Lima Yankee, cleared runway two for right to land""",TARS will readback the message.,TARS will display a written version of the ATC message,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays current checklist step and expected worklow.,TARS anticipates pilot's checklist step confirmations; pilot expects TARS to announce next steps.,Pilot can override or modify TARS actions via voice command. pilot confirms checklist initiation.,"Engine temperature, fire detection status, fuel shutoff valve position.",prompt_start_checklist,5,5,Starting ENGINE FIRE Emergency Checklist,TARS will announce starting checklist then proceed to start,TARS will display next checklist and wait,,,
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,green,green,red,,Pilot confirms,,,"Engine temperature, pressure, fire detection status, checklist steps.",immediate_action_items,0,is_acked,CHECK Immediate action Items done,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,yellow,yellow,orange,orange,TARS can support the pilot by calling out the action,,,"Engine fire status, fuel boost switch position.",,0,is_acked,{engine_failed_side} engine fuel boost confirm OFF,,TARS will announce affected engine side and autocheck,transition,is_fuel_boost_off,next_task
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,yellow,yellow,green,,TARS must display checklist progress and status to the pilot.,,,"Engine status, FIRE LIGHT status, checklist steps.",,1,5,"Thirty seconds if light remains on, {engine_failed_side} bottle discharge",,TARS will announce time's up and failed engine side,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,green,green,orange,orange,The pilot must callout the action,,,"Engine fire status, BOTTLE ARMED switch position.",,0,is_acked,,,TARS will sense and continue to next item,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Test,FIRE WARN,green,green,orange,orange,TARS monitors pilot's actions.,,,"FIRE WARN status, engine parameters, ATC frequency.",,0,is_acked,Turn Test to FIRE WARN,,TARS will sense and continue to next item,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,green,green,red,,TARS monitors pilot's actions.,,,"Engine fire status, TARS communication status.",,0,is_acked,Check IF both ENGINE FIRE lights ILLUMINATE,,TARS will announce action,,,
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress; pilot confirms task completion.,TARS anticipates pilot's checklist initiation;,Pilot can postpone the execution,"Engine status, fire indicators, checklist steps, ATC communication status.",prompt_next_checklist,5,is_acked,ENGINE FIRE checklist completed: Next checklist: Engine Failure / Precautionary Shutdown,TARS will announce starting checklist then proceed to start,TARS will display next checklist and wait,,,
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,ANNOUNCE PANPAN AND REQUEST VECTOR,yellow,green,orange,orange,TARS must display ATC communication message to the pilot.,Pilot must anticipate TARS's emergency declaration timing.,Pilot can override or confirm TARS's emergency declaration.,"Current aircraft status, ATC frequency, emergency nature.",allow_comm,2,is_acked,"Pan-Pan, Pan-Pan, Pan-Pan, Montreal Tower, Cessna Papa Oscar Lima Yankee, single engine operation after engine failure, {altitude} feet, {position_compared_to_initial}, {heading} degrees.  requesting vectors for immediate return to runway {RUNWAY_NUMBER}","TARS will prompt and wait for approval to contact ATC to announce PANPAN, TARS will display the message and frequency, then emit the message",TARS will display a standard panpan message with current flight information,,,
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,READBACK,yellow,yellow,yellow,yellow,,,,,,38,0,"Turning right heading one-five-zero, descending to three thousand, expect ILS runway two four right, C-POLY.",TARS will readback the message.,TARS will display a written version of the ATC message,,,
DECLARE PANPAN,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,yellow,yellow,orange,orange,,,,,,0,is_acked,Will set heading to three-three-zero on your approval,TARS will set heading as indicated by ATC upon pilot approval,TARS will display heading as indicated by ATC,,,
DECLARE PANPAN,EMER,SOP,Navigation,Altitude,SET ACCORDINGLY,yellow,yellow,orange,orange,,,,,,0,is_acked,Will set altitude to three thousand on your approval,TARS will set altitude as indicated by ATC upon pilot approval,TARS will display altitude as indicated by ATC,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress and status updates to pilot.,Pilot anticipates TARS's checklist sequence and timing.,Pilot can postpone checklist execution.,"Aircraft configuration, engine status, flight path, checklist items.",prompt_start_checklist,5,is_acked,Starting After Takeoff Normal Checklist,TARS will announce starting checklist then proceed to start,TARS will display next checklist and wait,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,green,green,orange,orange,TARS must display gear status.,,,"Gear status, airspeed, altitude.",,0,is_acked,,,TARS will autocheck ,continuous,is_gear_retracted,end_of_procedure
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 10,yellow,yellow,green,,Human sees TARS' airspeed checks and status updates.,,,"Current airspeed, V2 speed, aircraft configuration.",,0,is_acked,,TARS will check airspeed and callout if too slow,TARS will display airspeed target value,,,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,yellow,red,red,,,,,"Obstacle proximity, aircraft altitude, climb rate.",,5,is_acked,,,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,green,green,green,,TARS must display flap status.,Human must anticipate TARS's verbal reminders for flap retraction.,,"Flap position, airspeed, altitude, and climb rate.",,0,is_acked,Retract flaps,,TARS will check flaps status and announce result,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,green,green,red,,TARS must display throttle detent status to pilot.,,,"Throttle position, climb rate, engine performance data.",,0,is_acked,Set Throttles to Climb detent,,TARS will sense action and go to the next item,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,yellow,green,orange,orange,TARS displays yaw damper status changes to pilot.,TARS anticipates pilot's yaw damper adjustments.,Pilot commands TARS to adjust yaw damper settings.,"Yaw damper status, aircraft attitude, flight phase.",yaw_damper_as_desired,5,is_acked,,TARS will engage yaw damper if no engine failure upon pilot approval,TARS will give yaw damper usage suggestion,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,yellow,green,red,,TARS displays anti-ice system status; pilot confirms visual indicators.,TARS alerts pilot of potential anti-ice activation needs.,,"Outside air temperature, wing surface status, system activation status.",anti_ice_systems_as_required,0,is_acked,,,TARS will suggest action,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,yellow,green,red,,TARS must display PAX SAFETY switch status to pilot and requirement.,,,"PAX SAFETY switch position, checklist status.",pax_safety_switch_as_required,0,is_acked,,,TARS will suggest action,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,yellow,green,red,,TARS must display landing light status to the pilot and requirement.,Pilot must anticipate TARS's reminders for landing light status.,,"Landing light switch position, current flight phase.",landing_light_as_required_after_takeoff,0,is_acked,,,TARS will suggest action,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,green,green,green,,TARS displays pressurization status to pilot.,TARS anticipates pilot's pressurization check initiation.,,"Cabin altitude, differential pressure, system status.",pressurization_check,2,5,Checking pressurization,TARS will check cabin pressurization and announce result,TARS will remind normal pressure range,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,green,green,green,,TARS displays altimeter setting changes; pilot confirms via cockpit display.,"TARS anticipates pilot's altimeter setting, pilot anticipates TARS altimeter setting",Pilot commands TARS to set altimeter to standard pressure.,"Current altitude, transition altitude, standard pressure setting.",,0,5,Will set altimeter to Standard Pressure when reaching transition altitude = {TRANSITION_ALTITUDE} feet,TARS will announce then set altimeters to STD upon reaching transition altitude,TARS will display transition altitude value,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,green,,red,,Human must confirm crosscheck.,,,"Current altimeter setting, transition altitude.",,0,is_acked,,,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,green,,green,,TARS displays checklist status; pilot confirms task completion visually/audibly.,TARS anticipates pilot's checklist completion cues; pilot expects TARS to announce.,,"Checklist items, task status, aircraft configuration.",,0,is_acked,After TAKEOFF checklist completed,TARS will announce current checklist completed,,,,
