Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Criticality,Execution type,Constraint type,Time constraint (in s)
LINE-UP AND HOLD,NORM,SOP,Flight Control,Brakes,HOLD,green,red,red,,,,,,,,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,yellow,yellow,green,The autonomous agent needs to know that the pilot has checked the CAS. Conversely the pilot needs to know that the autonomous agent has checked the CAS,,,,,,,
TAKEOFF,NORM,SOP,Callout,"""Set thrust""",ANNOUNCE,green,red,red,The AA needs to know that the pilot has done the action,,,,,,,
TAKEOFF,NORM,SOP,Flight Control,THROTTLES,TO Detent,green,red,red,The autonomous agent should be able to perceive the actions and intentions of the human pilot when setting the thrust. This includes being able to monitor the status of the controls and instruments related to thrust setting.,,,,,,,
TAKEOFF,NORM,SOP,System Check,FADEC bug,CHECK TO,yellow,yellow,green,"The autonomous agent must be able to assess whether the pilot is performing the task correctly and in a timely manner or reclaim the task. Similarly, the human pilot must be able to observe the actions, especially if the AA takes over the task",,,,,,,
TAKEOFF,NORM,SOP,System Check,Engine spool,CHECK EVEN,yellow,yellow,green,"The autonomous agent should be able to perceive the action of the human pilot. The human pilot should also be able to perceive the actions and status of the autonomous agent, including any alerts or notifications it may issue regarding the engine spool.","The autonomous agent should be able to anticipate how the human will react to any issues. The human pilot should also be able to anticipate the actions of the autonomous agent, such as when it will issue alerts or notifications and how it will respond to any issues with the engine spool.","The autonomous agent should be able to influence the actions of the human pilot, such as prompting them to crosscheck the engine spool or alerting them to any issues. However, the human pilot should also have the ability to override the autonomous agent's actions or decisions if necessary.",,,,,
TAKEOFF,NORM,SOP,Callout,"""Thrust set""",ANNOUNCE,green,green,green,The AA needs to know that the pilot has done the action,,,,,,,
TAKEOFF,NORM,Checklist,System Check,Engine Instruments,CHECK NORMAL,yellow,yellow,green,"The autonomous agent should be able to monitor the N1% and compare it with the command bug, and it should be able to communicate this information to the human pilot. The human pilot should be able to observe the actions of the autonomous agent through the interface, including the status of the N1% check.","both teammates should follow a predictable sequence of actions in case of alert during the task. The human pilot should be able to anticipate these actions, and the autonomous agent should be able to anticipate the pilot's actions based on standard operating procedures (RTO for instance).",,,,,,
TAKEOFF,NORM,Checklist,Flight Control,Brakes,RELEASE,yellow,red,red,"The AA needs to know that the pilot has done the action, the AA can quickly display an alert to the pilot to reminds about the parking brakes if they're still engaged after some time (TBD)",,,,,,,
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,yellow,green,green,The autonomous agent should be able to observe the airspeed and other relevant flight parameters through the avionics systems. It should also be able to perceive the action from the human pilot. The human pilot should be able to observe the actions of the autonomous agent.,The autonomous agent should be able to predict the human pilot's actions if airspeed never comes alive (RTO for instance).,"The autonomous agent should be able to influence the actions of the human pilot by providing an alert. However, the final decision should be in the hands of the human pilot. The human pilot should be able to direct the actions of the autonomous agent through commands or inputs (RTO command)",,,,,
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,yellow,green,green,"The autonomous agent should be able to monitor the speed of the aircraft through the avionics systems and determine when the aircraft has reached 70 knots. Similarly, the human pilot should be able to observe the actions and status of the autonomous agent through the human-autonomy interface.",,"The human pilot should be able to influence the actions of the autonomous agent if necessary, such as if there is a need to abort the takeoff. The autonomous agent should also be able to abort the takeoff if the human pilot is incapacitated or otherwise unable to perform the task.",,,,,
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,yellow,green,green,"The AA needs to announce ""V1"" on time, AA needs to be able to hear the announce from the pilot",Both teammate needs to have a good representation of the task allocation for the rotation and initial climb phase.,The autonomous agent should be able suggest course corrections or speed adjustments during the initial climb phase (setting up the Flight Director at 10deg for instance).,,,,,
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,yellow,green,green,The autonomous agent needs to monitor the compliance with the takeoff procedure. ,,The autonomous agent should be able suggest course corrections or speed adjustments during the initial climb phase (setting up the Flight Director at 10deg for instance).,,,,,
TAKEOFF,NORM,Checklist,Flight Control,Elevator Control,ROTATE,yellow,red,red,"The autonomous agent to perceive the actions of the human pilot, monitor the status of the controls and instruments, and understand the intentions of the pilot during the takeoff procedure. This is important to ensure that the agent can react appropriately in case of any unexpected situations or emergencies.",,"The primary role of the agent in this task is to monitor the situation and react if necessary, rather than to direct the pilot's actions.",,,,,
TAKEOFF,NORM,SOP,Flight Control,Pitch,MAINTAIN 10°,yellow,red,red,The autonomous agent should be able to observe and monitor the pitch angle of the aircraft through the avionics systems. It should also be able to perceive if the human pilot is maintaining the 10deg pitch as required during the takeoff procedure.,"The autonomous agent should be able to predict the actions of the human pilot based on the standard takeoff procedure. However, the human factor introduces an element of unpredictability, as the pilot may not always maintain the 10deg pitch perfectly.","The autonomous agent cannot directly influence the actions of the human pilot in maintaining the 10deg pitch, as it is not capable of physically manipulating the controls. However, it can provide alerts or suggestions to the pilot through the human-autonomy interface and set the flight director on the PFD.",,,,,
TAKEOFF,NORM,SOP,Parameter Check,Slip/Skid,CHECK,yellow,yellow,red,The autonomous agent should be able to observe the status of the slip/skid indicator to alert the pilot if a gross deviation is detected.,The human should know when the autonomy will likely alert of a gross deviation in flight symmetry,The alert emitted by the autonomous agent must be perceivable to direct the pilot to take action to recover from asymmetrical flight,,,,,
TAKEOFF,NORM,SOP,Parameter Check,Climb rate,CHECK POSITIVE,yellow,yellow,green,,,,,,,,
TAKEOFF,NORM,SOP,Callout,"""Positive rate, gear up""",ANNOUNCE,green,yellow,green,"The autonomous agent must be able to observe the actions of the human pilot during takeoff, including the positive rate and gear up. It should have access to the necessary avionics systems to monitor the status of these actions.",,"The autonomous agent should be able to influence the actions of the human pilot during takeoff, by displaying SOPs.",,,,,
TAKEOFF,NORM,SOP,Switch / Lever,LANDING GEAR,UP,green,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Rudder,APPLY,yellow,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Control,Rudder,TRIM,yellow,green,yellow,yellow,"The autonomous agent should be able to observe and understand the status of the rudder trim and the actions of the human pilot in real-time. This includes the ability to monitor the position of the rudder trim, the speed and direction of any changes, and any commands issued by the human pilot. The human pilot should also be able to see the actions and status of the autonomous agent, including any changes it makes to the rudder trim.","The human pilot should also be able to predict the actions of the autonomous agent, including when it will intervene to adjust the rudder trim and how it will respond to different emergency scenarios.",The human pilot should also be able to cancel the action of the autonomy by taking on trimming or issuing a cancellation command,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,Alarm,ANNOUNCE,yellow,yellow,green,,"The autonomous agent must be able to accurately perceive the status of the aircraft's systems and any alarms that may be triggered. The human pilot must be able to perceive the actions of the autonomous agent, such as when it announces an alarm and the steps it takes in response.","The autonomous agent should be able to predict the pilot's actions based on the alarm and the emergency procedures in place. The pilot should also be able to predict the agent's actions, such as what steps it will take in response to the alarm.","The autonomous agent should be able to influence the pilot's actions by providing clear and concise information about the alarm and suggested actions. The pilot should be able to direct the agent's actions, such as when to announce an alarm or when to take over certain tasks.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""Reset Master Warning""",ANNOUNCE,green,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Switch / Lever,Master Warning,RESET,green,red,red,,The autonomous agent needs to be able to observe when the master warning is reset. This is crucial for the agent to be able to accurately assess the situation and provide appropriate assistance in other areas.,,"The autonomous agent cannot influence the human pilot's actions in resetting the master warning, as this task is solely reserved for the human pilot.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,yellow,green,green,,The AA needs to observe the current pitch and only set the FD if the current pitch is far from the target pitch,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,yellow,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,yellow,yellow,red,,"The autonomous agent should be able to monitor the status of the landing gear and should be able to communicate this information to the pilot effectively. The human pilot should also be able to observe and understand the actions and status of the autonomous agent, including its current tasks, status of completion, and any issues or errors.",,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2,yellow,yellow,green,,The autonomous agent needs to monitor the airspeed. ,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""Speed mode FLC V2, heading mode""",ANNOUNCE,yellow,yellow,green,,"The autonomous agent needs to monitor the speed mode, heading mode, and any changes the pilot makes to these settings. It also includes being able to monitor the status of the autopilot and FMS, and any changes the pilot makes to these systems.","The autonomous agent also needs to be able to anticipate what the human pilot will do next, such as changing the speed mode or heading mode, or adjusting the autopilot or FMS settings. ",,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,"Autopilot",SET SPD MODE,green,,green,,"The autonomous agent should be able to observe the actions of the human pilot in setting the speed and heading mode, and vice versa. The autonomous agent should be able to perceive the status of the speed and heading mode through the avionics systems, and the human pilot should be able to observe the autonomous agent's actions through the human-autonomy interface.",,"The autonomous agent should be able to influence the human pilot's actions if it detects a potential issue or error. However, the final decision should rest with the human pilot, given the critical nature of the task. Conversely, the human pilot should be able to direct the autonomous agent's actions, especially if the pilot needs to override the autonomous agent's decisions for safety reasons.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,green,,green,,"The autonomous agent should be able to observe the actions of the human pilot in setting the speed and heading mode, and vice versa. The autonomous agent should be able to perceive the status of the speed and heading mode through the avionics systems, and the human pilot should be able to observe the autonomous agent's actions through the human-autonomy interface.",,"The autonomous agent should be able to influence the human pilot's actions if it detects a potential issue or error. However, the final decision should rest with the human pilot, given the critical nature of the task. Conversely, the human pilot should be able to direct the autonomous agent's actions, especially if the pilot needs to override the autonomous agent's decisions for safety reasons.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,yellow,yellow,orange,orange,Both teammates should be able to observe whether the other has successfully contacted ATC and announced the emergency. The agent should provide clear feedback to the pilot about its actions and the status of the emergency announcement.,"The pilot needs to predict the agent's actions in contacting ATC. The agent should follow a predictable protocol for announcing emergencies to ATC, and the pilot should be aware of this protocol.","The pilot should be able to direct the autonomous agent to contact ATC and announce the emergency, and the agent should be able to follow these directions accurately.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,LISTEN,green,green,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,yellow,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Altitude,CHECK 700ft AGL,yellow,yellow,green,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""700ft, engage autopilot""",ANNOUNCE,yellow,yellow,green,,"The autonomous agent needs to monitor the altitude of the aircraft and the status of the autopilot system. The human pilot also needs to be able to observe the actions of the autonomous agent, such as when it engages the autopilot.","The autonomous agent's actions need to be predictable to the human pilot. The pilot needs to know that once the aircraft reaches 700ft, the autonomous agent will engage the autopilot. Similarly, the autonomous agent needs to predict the pilot's actions and intentions, such as if the pilot plans to manually engage the autopilot or not.","The autonomous agent should have the ability to take over the task of engaging the autopilot if the human pilot is unable to do so. However, the human pilot should also have the ability to override the autonomous agent's actions if necessary. The autonomous agent should be able to influence the actions or decisions by suggesting when to engage the autopilot.",,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,green,green,orange,orange,the human pilot should be able to perceive when the agent is assisting with autopilot engagement.,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,yellow,yellow,green,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,yellow,yellow,green,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,yellow,red,red,,,,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""Retract flaps""",Announce,yellow,yellow,green,,The autonomous agent needs to be able to observe actions taken on the controls. ,"The agent should be able to anticipate if and when the pilot will retract the flaps, based on the current situation. The human pilot should also be able to predict the actions of the autonomous agent, to understand what it will do next and how it will react to different situations.","The autonomous agent should be able to influence the human pilot's actions and decisions, especially if the pilot is about to make a mistake or overlook something important.",,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,green,red,red,,,,,,,,
ENGINE FIRE,EMER,SOP,Callout,"""Affected thrust lever, confirm and idle""",ANNOUNCE,yellow,yellow,green,,The autonomous agent needs to be able to observe actions taken on the controls. ,"The agent should be able to anticipate if and when the pilot will retract the flaps, based on the current situation. The human pilot should also be able to predict the actions of the autonomous agent, to understand what it will do next and how it will react to different situations.","The autonomous agent should be able to influence the human pilot's actions and decisions, especially if the pilot is about to make a mistake or overlook something important.",,,,
ENGINE FIRE,EMER,SOP,Callout,"""Idle""",ANNOUNCE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,SOP,Callout,"""TOP""",ANNOUNCE,green,,green,,,,,,,,
ENGINE FIRE,EMER,SOP,Switch / Lever,Chrono,START,green,,green,,,,,,,,
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,yellow,yellow,green,,"The autonomous agent should be able to observe the status of the light and the time elapsed since the initiation of the Engine Fire Emergency Procedure. The human pilot should be able to observe the actions of the autonomous agent, such as whether it is monitoring the light and the elapsed time.",The autonomous agent should be able to predict that the human pilot will check the light after 15 seconds as part of the Engine Fire Emergency Procedure. The human pilot should be able to predict that the autonomous agent will support this task by monitoring the light and the elapsed time.,The autonomous agent should be able to direct the human pilot to check the light after 15 seconds if necessary. ,,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,green,red,red,,,,,,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,"The autonomous agent needs to be able to monitor the pilot's actions, the status of the engine, and the completion of the checklist items. The pilot should also be able to observe the actions and status of the autonomous agent to ensure it is performing the task correctly.",The autonomous agent's actions should be highly predictable to the human pilot. The pilot should be able to anticipate what the autonomous agent will do next in the checklist task. This includes the order in which the checklist items will be executed and the actions the agent will take in response to the pilot's actions or changes in the aircraft's status. The pilot's actions should also be predictable to the autonomous agent to allow it to effectively support the pilot in the task.,"The pilot should be able to influence the actions or decisions of the autonomous agent, such as changing the order of the checklist items or overriding the agent's actions. However, the autonomous agent should also have some autonomy to perform the task based on its understanding of the situation and the pilot's actions.",,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Radio,ALLOCATE,green,red,red,,,,The pilots need to be able to allocate the radio responsibility via the autonomous agent's interface,,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,RETRIEVE,yellow,green,green,,,"The autonomous agent should be able to predict whether the pilot will be able to retrieve and follow the checklist in a timely manner. The human pilot should also be able to predict the autonomous agent's actions, including its ability to retrieve the checklist and its subsequent actions.",both teammate should be able to remind each other to retrieve the checklist.,,,,
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,SOP,Callout,"""Affected thrust lever, confirm and cutoff""",ANNOUNCE,yellow,yellow,green,,"The autonomous agent must be able to observe the status of the affected thrust lever and the actions of the human pilot. This includes the ability to monitor the lever's position, the engine's status, and the pilot's actions. The human pilot must be able to observe the agent's actions and intentions, including any alerts or notifications it sends about the lever's status or its own actions.",,"The agent must be able to direct the human pilot's actions, such as instructing the pilot to confirm and cut off the affected thrust lever.",,,,
ENGINE FIRE,EMER,SOP,Callout,"""cutoff""",ANNOUNCE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,green,red,red,,,,,,,,
ENGINE FIRE,EMER,SOP,Callout,"""Affected engine fuel boost confirm off then norm""",ANNOUNCE,yellow,yellow,green,,"The autonomous agent must be able to observe the status of the affected fuel boost and the actions of the human pilot. This includes the ability to monitor the control's position, the engine's status, and the pilot's actions. The human pilot must be able to observe the agent's actions and intentions, including any alerts or notifications it sends about the lever's status or its own actions.",,The agent must be able to direct the human pilot's actions.,,,,
ENGINE FIRE,EMER,SOP,Callout,"""off then norm""",ANNOUNCE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),NORM,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,yellow,yellow,green,,The autonomous agent should be able to observe the status of the light and the time elapsed since the initiation of the procedure. The human pilot should be able to observe the status of the autonomous agent's actions and intentions through a clear and intuitive interface.,The autonomous agent should follow a predictable pattern of checking the light after 30 seconds. The human pilot should be able to anticipate this action.,"The human pilot should be able to direct the autonomous agent to check the light after 30 seconds. However, the autonomous agent should also have the ability to perform this task autonomously if the pilot is unable to give the command due to other tasks or emergencies.",,,,
ENGINE FIRE,EMER,SOP,Callout,"""30 seconds, light remains on, bottle discharge""",ANNOUNCE,yellow,yellow,green,,The autonomous agent must be able to observe and understand the status of the engine fire warning light and the bottle discharge system.,"The autonomous agent must be able to predict the actions of the human pilot in response to the engine fire emergency procedure, including the timing and sequence of actions. This includes predicting when the human pilot will discharge the bottle if the light remains on for 30 seconds.",,,,,
ENGINE FIRE,EMER,SOP,Callout,"""discharge""",ANNOUNCE,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Rotary Test,FIRE WARN,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,green,red,red,,,,,,,,
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,,,,,,,
ENGINE FIRE,EMER,,Checklist Mgmt,"Checklist",ANNOUNCE COMPLETED,green,red,red,,,,,,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,ANNOUNCE EMERGENCY,yellow,green,orange,orange,"The autonomous agent should be able to perceive when the pilot is unable to perform the task due to stress or workload. It should also be able to observe the status of the avionics systems, such as autopilot and FMS, and the emergency condition. The human pilot should be able to perceive the actions and intentions of the autonomous agent, such as when it is contacting ATC to announce the emergency and request vector.",The human pilot should be able to anticipate when the AA is about to contact ATC to announce the emergency and request vector.,"The human pilot should be able to direct the actions of the autonomous agent, such as when to contact ATC to announce the emergency and request vector.",,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,REQUEST VECTOR,yellow,green,orange,orange,"The autonomous agent should be able to perceive when the pilot is unable to perform the task due to stress or workload. It should also be able to observe the status of the avionics systems, such as autopilot and FMS, and the emergency condition. The human pilot should be able to perceive the actions and intentions of the autonomous agent, such as when it is contacting ATC to announce the emergency and request vector.",The human pilot should be able to anticipate when the AA is about to contact ATC to announce the emergency and request vector.,"The human pilot should be able to direct the actions of the autonomous agent, such as when to contact ATC to announce the emergency and request vector.",,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,LISTEN,yellow,red,red,,,,,,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,READBACK,yellow,red,red,,"The autonomous agent's must hear the pilot's acknowledgement to prepare for the next tasks (set heading, FLC)",,,,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,yellow,yellow,red,,"The autonomous agent needs track the pilot's actions in setting the heading, understanding the current status of the aircraft's heading, and identifying any deviations from the required heading. The human pilot also needs to be able to observe the autonomous agent's actions and status, such as whether it is actively monitoring the heading and if it is ready to assist if needed.",The pilot should be able to predict when the agent will intervene to assist with setting the heading.,"The pilot should be able to direct the agent to assist with setting the heading. The agent should be able to respond to these directions promptly and accurately. Similarly, the agent should be able to direct the pilot to adjust the heading to a specific value.",,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,FLC,SET ACCORDINGLY,yellow,yellow,red,,"The autonomous agent needs track the pilot's actions in setting the heading, understanding the current status of the aircraft's heading, and identifying any deviations from the required heading. The human pilot also needs to be able to observe the autonomous agent's actions and status, such as whether it is actively monitoring the heading and if it is ready to assist if needed.",The pilot should be able to predict when the agent will intervene to assist with setting the heading.,"The pilot should be able to direct the agent to assist with setting the heading. The agent should be able to respond to these directions promptly and accurately. Similarly, the agent should be able to direct the pilot to adjust the heading to a specific value.",,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,"The autonomous agent needs to be able to monitor the pilot's actions, the status of the engine, and the completion of the checklist items. The pilot should also be able to observe the actions and status of the autonomous agent to ensure it is performing the task correctly.",The autonomous agent's actions should be highly predictable to the human pilot. The pilot should be able to anticipate what the autonomous agent will do next in the checklist task. This includes the order in which the checklist items will be executed and the actions the agent will take in response to the pilot's actions or changes in the aircraft's status. The pilot's actions should also be predictable to the autonomous agent to allow it to effectively support the pilot in the task.,"The pilot should be able to influence the actions or decisions of the autonomous agent, such as changing the order of the checklist items or overriding the agent's actions. However, the autonomous agent should also have some autonomy to perform the task based on its understanding of the situation and the pilot's actions.",,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,RETRIEVE,green,green,green,,,"The autonomous agent should be able to predict whether the pilot will be able to retrieve and follow the checklist in a timely manner. The human pilot should also be able to predict the autonomous agent's actions, including its ability to retrieve the checklist and its subsequent actions.",both teammate should be able to remind each other to retrieve the checklist.,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,green,green,red,,"The autonomous agent should be able to observe the raising of the landing gear. This can be achieved through the agent's access to the avionics systems, which should provide it with information about the status of the landing gear. The human pilot should also be able to observe the actions and intentions of the autonomous agent, such as the agent's checks on the status of the controls and instruments.","The autonomous agent should be able to predict the actions of the human pilot, such as the raising of the landing gear after takeoff, as this is a standard procedure. Similarly, the human pilot should be able to predict the actions of the autonomous agent, such as its checks on the status of the controls and instruments.","The autonomous agent should be able to remind the pilot to raise the landing gear after takeoff if this has not been done. However, the agent cannot perform this task itself. The human pilot should be able to direct the actions of the autonomous agent, such as by instructing it to check the status of certain controls or instruments.",,,,
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 12,yellow,yellow,green,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,yellow,yellow,red,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,green,green,red,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,green,green,red,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,yellow,green,yellow,yellow,"The autonomous agent should be able understand when the human pilot is engaging the yaw damper, how they are using it, and what their intentions are with its use. Similarly, the human pilot should be able to observe the autonomous agent's actions and status, including when it is engaging the yaw damper.",The human pilot should be able to predict when the autonomous agent will engage the yaw damper,"The autonomous agent should be able to influence the human pilot's actions, such as suggesting when to engage the yaw damper based on flight conditions. Similarly, the human pilot should be able to direct the autonomous agent, such as instructing it to engage the yaw damper.",,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,yellow,green,red,,"The autonomous agent should be able to monitor the status of the deicing system and the conditions that might necessitate its use (such as temperature, humidity, and altitude). Similarly, the human pilot should be able to see what the AI is doing, including when it decides to activate the deicing system and why.",,"The human pilot should have the ability to override the AI's decisions if the pilot has information that the AI does not. Conversely, the AI should be able to suggest actions to the pilot, particularly if the pilot appears to be missing important cues or making errors. The interface should facilitate this two-way communication and control.",,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,yellow,green,red,,,,"If the agent perceives that the pilot has not engaged the switch as required, it needs to be able to prompt or remind the pilot to do so. Conversely, the human pilot should also be able to direct the autonomous agent to check the status of the switch or to engage it if necessary.",,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,yellow,green,red,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,green,green,green,,"The autonomous agent should be able to perceive the actions and status of the human pilot and the pressurization system. It should be able to monitor the system status and the pilot's actions related to the pressurization check. Similarly, the pilot should be able to perceive the actions and status of the autonomous agent, including any alerts or messages it generates related to the pressurization check.",,,,,,
