Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,interaction,Time to Initiate Action,Time after Ending Action,Callout,Condition Type,Condition Function,Monitor Scope
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""Speed mode FLC V2, heading mode""",ANNOUNCE,,performer,,0,5,"Set Speed mode, FLC V two, Set heading mode",,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET SPD MODE,,performer,,10,2,Speed mode set,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,,performer,,10,2,Heading mode set,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,supporter,performer,allow_comm,10,is_acked,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,LISTEN,performer,supporter,,5,10,"""Mayday, Mayday, Mayday,  Cessna Papa Oscar Lima Yankee, engine fire, continuing {heading}, two souls on board.""",,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,performer,,,0,is_acked,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Altitude,CHECK 700ft AGL,,performer,,0,1,,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""700ft, engage autopilot""",ANNOUNCE,,performer,,2,is_acked,seven hundred feet engage autopilot,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,supporter,performer,,is_acked,5,Autopilot Engaged,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,,performer,,0,3,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,,performer,,0,3,,continuous,is_v2_plus_10,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,performer,,,0,5,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,"""Retract flaps""",Announce,,performer,,2,2,Retract flaps,continuous,is_v2_plus_10,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,performer,,,0,is_sensed,,continuous,is_v2_plus_10,end_of_procedure
ENGINE FIRE,EMER,SOP,Callout,"""Affected thrust lever, confirm and idle""",ANNOUNCE,,performer,,2,5,"Affected thrust lever, confirm and idle",,,
ENGINE FIRE,EMER,SOP,Callout,"""Idle""",ANNOUNCE,performer,,,0,0,,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,performer,,,0,is_sensed,,continuous,is_throttle_idle,end_of_procedure
ENGINE FIRE,EMER,SOP,Callout,"""TOP""",ANNOUNCE,,performer,,5,is_acked,"Threee, two, one, TOP Chrono",,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Chrono,START,,performer,,5,0,,,,
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,,performer,,15,is_acked,,,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,performer,,,0,5,,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,is_acked,Starting ENGINE FIRE Emergency Checklist,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Radio,ALLOCATE,performer,,radio_allocation,0,is_acked,,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,RETRIEVE,,performer,,0,0,,,,
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,performer,,immediate_action_items,0,is_acked,,,,
ENGINE FIRE,EMER,SOP,Callout,"""Affected thrust lever, confirm and cutoff""",ANNOUNCE,,performer,,1,5,"Affected thrust lever, confirm and cutoff",,,
ENGINE FIRE,EMER,SOP,Callout,"""cutoff""",ANNOUNCE,performer,,,0,0,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,performer,,,0,is_sensed,,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FIRE,EMER,SOP,Callout,"""Affected engine fuel boost confirm off then norm""",ANNOUNCE,,performer,,1,5,Affected engine fuel boost confirm OFF then NORM,,,
ENGINE FIRE,EMER,SOP,Callout,"""off then norm""",ANNOUNCE,performer,,,0,0,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,performer,,,0,is_sensed,,transition,is_fuel_boost_off,next_task
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),NORM,performer,,,0,is_sensed,,transition,is_fuel_boost_norm,next_task
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,,performer,,0,is_acked,,,,
ENGINE FIRE,EMER,SOP,Callout,"""30 seconds, light remains on, bottle discharge""",ANNOUNCE,,performer,,1,10,Thirty seconds light remains on. bottle discharge,,,
ENGINE FIRE,EMER,SOP,Callout,"""discharge""",ANNOUNCE,performer,,,0,0,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,performer,,,0,is_acked,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Rotary Test,FIRE WARN,performer,,,0,is_sensed,,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,performer,,,0,is_acked,,,,
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,,performer,prompt_next_checklist,5,is_acked,Start checklist : Engine Failure/Precautionary Shutdown,,,
ENGINE FIRE,EMER,,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,performer,,end_emer,0,0,,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,ANNOUNCE EMERGENCY,supporter,performer,allow_comm,10,is_acked,"Pan-Pan, Pan-Pan, Pan-Pan, Montreal Tower, Cessna Papa Oscar Lima Yankee, single engine operation after engine failure",,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,REQUEST VECTOR,supporter,performer,add_request_vector,5,5," requesting vectors for immediate return, runway {runway_number},  two souls on board",,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,LISTEN,performer,,,0,10,,,,
DECLARE EMERGENCY,EMER,SOP,ATC Communication,ATC,READBACK,performer,,,0,is_acked,,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,performer,supporter,,0,is_acked,,,,
DECLARE EMERGENCY,EMER,SOP,Navigation,FLC,SET ACCORDINGLY,performer,supporter,,0,is_acked,,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,is_acked,Starting After Takeoff Normal Checklist,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,RETRIEVE,,performer,,0,0,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,performer,supporter,,0,is_sensed,,continuous,is_flaps_retracted,end_of_procedure
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 10,,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,performer,supporter,,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,performer,supporter,,0,is_sensed,,continuous,is_flaps_retracted,end_of_procedure
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,performer,supporter,,0,is_sensed,,transition,is_throttle_clb,next_task
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,supporter,performer,yaw_damper_as_desired,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,performer,supporter,anti_ice_systems_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,performer,supporter,pax_safety_switch_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,performer,supporter,landing_light_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,,performer,,2,2,Pressurization Checked,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,,performer,,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,performer,,,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,,performer,,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,,performer,prompt_next_checklist,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,5,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,RETRIEVE,,performer,,0,0,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,performer,supporter,,0,is_sensed,,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,,performer,caution_text_readout,0,45,"""If possible, the engines should remain at idle for a minimum of two minutes prior to shutdown to allow the engine inter-turbine temperatures to stabilize and avoid turbine blade rub.
If the engine windmills for more than fifteen minutes without a positive indication of oil pressure, a notation is required in the engine logbook and the engine must be inspected in accordance with the
pratt and whitney engine maintenance manual.
If the engine windmills for more than fifteen minutes with the firewall shutoff closed or the boost pump turned off, the engine fuel pump must be inspected in accordance with the Pratt and Whitney Engine
Maintenance Manual.""",,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,performer,supporter,,0,is_sensed,GEN Switch {affected side} OFF,transition,is_gen_switch_off,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,performer,supporter,,0,is_sensed,GEN Switch {affected side} NORM,transition,is_ignition_switch_norm,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),performer,supporter,,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,performer,supporter,,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,,performer,,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,,performer,prompt_next_checklist,0,is_acked,"Checklist finished, Next checklist Single-Engine approach and landing",,,
,,,,,,,,,,,,,,
