Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,interaction,Time to Initiate Action,Time after Ending Action,Callout,Condition Type,Condition Function,Monitor Scope
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Navigation,Climb,TO A SAFE ALTITUDE,performer,supporter,eng_failure_aft_v1_memo_items,0,2,Climb to {SAFE_ALTITUDE},continuous,is_safe_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,,performer,,0,4,"Flight director on, takeoff mode",,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,performer,supporter,eng_failure_aft_v1_memo_items,0,2,Maintain {TO_PITCH} degrees,continuous,is_pitch_maintained,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,performer,supporter,eng_failure_aft_v1_memo_items,0,2,,continuous,is_gear_up,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Airspeed,CHECK V2,,performer,eng_failure_aft_v1_memo_items,0,2,Aim for {V_ENR} knots,continuous,is_airspeed_v_two,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Control,Rudder,TRIM,supporter,performer,allow_trim_rudder,15,is_acked,Ready to trim rudder for {engine_failed_side} engine failure on your approval.,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,Alarm,ANNOUNCE,,performer,,0,5,"Alarm {engine_failed_side} Engine Fire, low oil pressure {engine_failed_side}",transition,is_alarm,next_task
ENG FAILURE DURING TAKEOFF,EMER,SOP,Switch / Lever,Master Warning,RESET,performer,,,0,is_sensed,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Check,SAFE ALTITUDE REACHED,,performer,eng_failure_aft_v1_memo_items,0,is_sensed,Safe altitude {SAFE_ALTITUDE} feet reached,continuous,is_safe_altitude,end_of_procedure
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,performer,supporter,engine_fire_memo_items,0,is_sensed,Throttle {engine_failed_side} engine IDLE,continuous,is_throttle_idle,end_of_procedure
ENGINE FIRE,EMER,SOP,Switch / Lever,Chrono,START,,performer,engine_fire_memo_items,4,0,"Three, Two, One, top Chrono",,,
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,,performer,engine_fire_memo_items,15,is_acked,"If illuminated ENGINE FIRE Light is ON, Engine Fire Switch Lift Cover and Push",,,
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,performer,,engine_fire_memo_items,0,5,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET SPD MODE,,performer,,0,5,"Arming Speed mode to FLC {V_ENR} knots",,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,,performer,,0,5,Arming heading mode to {RUNWAY_HEADING} degrees,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,supporter,performer,allow_engage_ap,15,3,Will engage autopilot on your approval,continuous,is_ap_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,,performer,,0,3,Altitude superior to {SAFE_ALTITUDE} feet,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,,performer,,0,3,,continuous,is_v2_plus_10,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,performer,,,0,5,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,performer,supporter,,0,is_sensed,Retract Flaps,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Flight Control,Accelerate,TO V_ENR,performer,supporter,show_v_enr,0,is_sensed,Accelerate to {V_ENR},continuous,is_v_enr,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,supporter,performer,allow_comm,15,1,"""Mayday, Mayday, Mayday,  Cessna Papa Oscar Lima Yankee, engine fire, {altitude} feet, continuing {heading} degrees heading, two souls on board.""",,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,performer,,,5,is_acked,,,,
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,is_acked,Starting ENGINE FIRE Emergency Checklist,,,
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,performer,,immediate_action_items,0,is_acked,CHECK Immediate action Items done,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,performer,supporter,,0,is_sensed,Throttle {engine_failed_side} cutoff,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,performer,supporter,,0,is_sensed,{engine_failed_side} engine fuel boost confirm OFF,transition,is_fuel_boost_off,next_task
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),NORM,performer,supporter,,0,is_sensed,{engine_failed_side} engine fuel boost confirm NORM,transition,is_fuel_boost_norm,next_task
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,performer,supporter,,1,10,Thirty seconds if light remains on. bottle discharge,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,performer,,,0,is_sensed,,,,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Rotary Test,FIRE WARN,performer,supporter,,0,is_sensed,Turn Rotary Test to FIRE WARN,,,
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,performer,supporter,,0,is_acked,Check IF both ENGINE FIRE lights ILLUMINATE,,,
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,supporter,performer,prompt_next_checklist,5,is_acked,Next checklist: Engine Failure / Precautionary Shutdown,,,
ENGINE FIRE,EMER,,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,supporter,performer,end_emer,0,0,ENGINE FIRE Checklist is Completed,,,
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,CONTACT,supporter,performer,prompt_announce_panpan,0,is_acked,Do you want to announce PANPAN and request vectors to ATC on one one niner decimal niner? answer approve or deny,,,
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,ANNOUNCE PANPAN,supporter,performer,allow_comm,20,is_acked,"Pan-Pan, Pan-Pan, Pan-Pan, Montreal Tower, Cessna Papa Oscar Lima Yankee, single engine operation after engine failure, {altitude} feet, {position_compared_to_initial}, {heading} degrees.  requesting vectors for immediate return to runway {RUNWAY_NUMBER}",,,
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,READBACK,performer,,,0,is_acked,,,,
DECLARE PANPAN,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,performer,supporter,,0,is_acked,,,,
DECLARE PANPAN,EMER,SOP,Navigation,FLC,SET ACCORDINGLY,performer,supporter,,0,is_acked,,,,
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,is_acked,Starting After Takeoff Normal Checklist,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,performer,supporter,,0,is_sensed,,continuous,is_gear_retracted,end_of_procedure
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 10,,performer,,0,is_sensed,,,,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,performer,supporter,,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,performer,supporter,,0,is_sensed,Retract flaps,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,performer,supporter,,0,is_sensed,Set Throttles to Climb detent,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,supporter,performer,yaw_damper_as_desired,5,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,performer,supporter,anti_ice_systems_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,performer,supporter,pax_safety_switch_as_required,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,performer,supporter,landing_light_as_required_after_takeoff,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,,performer,pressurization_check,2,5,Checking pressurization,,,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,,performer,,,5,Will set altimeter to Standard Pressure when reaching transition altitude = {TRANSITION_ALTITUDE} feet,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,performer,supporter,,0,is_acked,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,,performer,,0,is_acked,After TAKEOFF checklist completed,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,,performer,prompt_next_checklist,0,is_acked,Next Checklist : ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,,performer,prompt_start_checklist,5,5,Starting ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,performer,supporter,,0,is_sensed,,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,,performer,,0,45,"""If possible, the engines should remain at idle for a minimum of two minutes prior to shutdown to allow the engine inter-turbine temperatures to stabilize and avoid turbine blade rub.
If the engine windmills for more than fifteen minutes without a positive indication of oil pressure, a notation is required in the engine logbook and the engine must be inspected in accordance with the
pratt and whitney engine maintenance manual.
If the engine windmills for more than fifteen minutes with the firewall shutoff closed or the boost pump turned off, the engine fuel pump must be inspected in accordance with the Pratt and Whitney Engine
Maintenance Manual.""",,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,performer,supporter,,0,is_sensed,GEN Switch {engine_failed_side} OFF,transition,is_gen_switch_off,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,performer,supporter,,0,is_sensed,GEN Switch {engine_failed_side} NORM,transition,is_ignition_switch_norm,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),performer,supporter,,0,is_acked,Checking electrical load,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,performer,supporter,,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,,performer,,0,is_acked,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,,performer,prompt_next_checklist,0,is_acked,"Checklist finished, Next checklist Single-Engine approach and landing",,,
