Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,interaction,Time to Initiate Action,Time after Ending Action,Callout
BEFORE TAKEOFF,NORM,Checklist,Parameter Check,EICAS,CHECKED,performer,,EICAS visible,,,,,0,is_acked,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,supporter,performer,"Wind speed, direction, runway alignment.",,,,display_winds_and_ack,4,0,"Wind report from METAR : wind calm, 120 degrees at 4 knots"
LINE-UP AND HOLD,NORM,SOP,Autopilot Mgmt,Select Altitude,PRESET AS CLEARED,supporter,performer,ATC clearance,,,,alt_preset_as_cleared,0,6,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,performer,,"CAS status, system alerts, checklist progress.",,,,,0,is_acked,
TAKEOFF,NORM,Checklist,Flight Control,THROTTLES,TO Detent,performer,supporter,"Throttle position, engine parameters, runway conditions.",,,,display_fadec,0,is_acked,
TAKEOFF,NORM,Checklist,System Check,FADEC bug,CHECK TO,,performer,"FADEC status, engine parameters, TARS action log.",,,,display_eng_spool_evenly,1,1,FADEC normal
TAKEOFF,NORM,Checklist,System Check,Engine spool,CHECK EVEN,,performer,"Engine RPM, temperature, pressure, and spool rate.",,,,display_n1_matches_command_bug,3,2,
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,,performer,"Current airspeed, runway conditions, aircraft weight.",,,,,0,0,Airspeed is alive
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,,performer,"Airspeed, current phase of takeoff.",,,,,0,0,seventy knots
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,,performer,"Current airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,V1
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,,performer,"Airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,Rotate
TAKEOFF,NORM,Checklist,Flight Control,Pitch,MAINTAIN 10°,performer,supporter,"Current pitch angle, target pitch, airspeed, altitude.",,,,,3,0,
TAKEOFF,NORM,Checklist,Parameter Check,Climb rate,CHECK POSITIVE,,performer,"Current climb rate, target climb rate, altitude, airspeed.",,,,,0,1,
TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR,UP,performer,supporter,"Gear position, airspeed, altitude, climb rate.",,,,,0,1,Gear up
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Navigation,Climb,TO A SAFE ALTITUDE,performer,supporter,,,,,eng_failure_aft_v1_memo_items,2,2,Climb to {SAFE_ALTITUDE} aim for {V_ENR} knots
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,,performer,"Current flight director mode, engine status, autopilot engagement.",,,,,1,2,"Flight director on, takeoff mode"
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,performer,supporter,"Current pitch angle, engine status, autopilot engagement.",,,,eng_failure_aft_v1_memo_items,0,2,Maintain {TO_PITCH} degrees
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,performer,supporter,"Engine status, gear position, airspeed, altitude.",,,,eng_failure_aft_v1_memo_items,0,2,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Parameter Check,Airspeed,CHECK V2,,performer,"Current airspeed, V2 speed, engine status.",,,,eng_failure_aft_v1_memo_items,0,2,Aim for {V_ENR} knots
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Control,Rudder,TRIM,supporter,performer,"Engine status, current rudder trim position, airspeed, and yaw rate.",,,,allow_trim_rudder,10,5,Trim rudder for {engine_failed_side} engine failure.
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET SPD MODE,,performer,"Current airspeed, target speed, engine status.",,,,,0,5,Arming Speed mode to FLC {V_ENR} knots
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,SET HDG MODE,,performer,"Current heading, target heading, engine status.",,,,,0,5,Arming heading mode to {RUNWAY_HEADING} degrees
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Autopilot,ENGAGE,supporter,performer,"Engine status, autopilot mode, runway length remaining.",,,,allow_engage_ap,1,3,Will engage autopilot on your approval
ENG FAILURE DURING TAKEOFF,EMER,SOP,Callout,Alarm,ANNOUNCE,,performer,"Engine status, alarm type, current flight phase.",,,,,0,5,"Alarm {engine_failed_side} Engine Fire, low oil pressure {engine_failed_side} do you confirm?"
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Check,SAFE ALTITUDE REACHED,performer,,"Current altitude, agreed safe altitude",,,,eng_failure_aft_v1_memo_items,0,is_acked,Safe altitude {SAFE_ALTITUDE} feet reached
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Throttle (affected engine),IDLE,performer,supporter,"Engine status, throttle position, fire warning.",,,,engine_fire_memo_items,0,is_acked,Throttle {engine_failed_side} engine IDLE
ENGINE FIRE,EMER,SOP,Switch / Lever,Chrono,START,,performer,"Engine status, fire detection, extinguisher status, ATC communication status.",,,,engine_fire_memo_items,4,0,"Three, Two, One, top Chrono"
ENGINE FIRE,EMER,Memory Item,System Check,Engine FIRE LIGHT,CHECK ON AFTER 15s,performer,supporter,"Engine fire status, checklist progress, TARS action log.",,,,engine_fire_memo_items,15,is_acked,"15 seconds. If illuminated ENGINE FIRE Light is ON, Engine Fire Switch Lift Cover and Push"
ENGINE FIRE,EMER,Memory Item,Switch / Lever,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,performer,supporter,"Engine fire status, TARS communication readiness, ATC frequency.",,,,engine_fire_memo_items,0,5,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Altitude,CHECK 1500ft AGL,performer,supporter,"Altitude, engine status, autopilot mode, ATC clearance.",,,,,0,3,Altitude superior to {SAFE_ALTITUDE} feet
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Parameter Check,Airspeed,CHECK V2+10,performer,supporter,"Current airspeed, V2+10 target, engine status.",,,,,0,1,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Environment Check,Obstacles,CHECK Clear,performer,,"Engine status, obstacle proximity, runway length, weather conditions.",,,,,0,1,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,Switch / Lever,FLAP Handle,UP,performer,,"Flap handle position, engine status, airspeed.",,,,,0,is_acked,Retract Flaps
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,CONTACT,supporter,performer,"Engine status, ATC frequency, emergency checklist.",,,,allow_comm,5,1,"""Mayday, Mayday, Mayday,  Cessna Papa Oscar Lima Yankee, engine fire, {altitude} feet, continuing {heading} degrees heading, two souls on board."""
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC Communication,ATC,READBACK,supporter,performer,"Engine status, runway length remaining, ATC frequency.",,,,,1,1,"""Cessna Papa Oscar Lima Yankee, cleared runway two for right to land"""
ENGINE FIRE,EMER,SOP,Checklist Mgmt,Checklist,ORDER START,performer,,"Engine temperature, fire detection status, fuel shutoff valve position.",,,,prompt_start_checklist,5,5,Starting ENGINE FIRE Emergency Checklist
ENGINE FIRE,EMER,Checklist,Other,Immediate Action Item,CHECK DONE,performer,supporter,"Engine temperature, pressure, fire detection status, checklist steps.",,,,immediate_action_items,0,is_acked,CHECK Immediate action Items done
ENGINE FIRE,EMER,Checklist,Switch / Lever,FUEL BOOST Switch (affected side),OFF,supporter,performer,"Engine fire status, fuel boost switch position.",,,,,0,is_acked,{engine_failed_side} engine fuel boost confirm OFF
ENGINE FIRE,EMER,Checklist,System Check,Engine FIRE LIGHT,CHECK ON AFTER 30s,,performer,"Engine status, FIRE LIGHT status, checklist steps.",,,,,1,5,"Thirty seconds if light remains on, {engine_failed_side} bottle discharge"
ENGINE FIRE,EMER,Checklist,Switch / Lever,Illuminated BOTTLE ARMED Switch,PUSH,supporter,performer,"Engine fire status, BOTTLE ARMED switch position.",,,,,0,is_acked,
ENGINE FIRE,EMER,Checklist,Switch / Lever,Test,FIRE WARN,supporter,performer,"FIRE WARN status, engine parameters, ATC frequency.",,,,,0,is_acked,Turn Test to FIRE WARN
ENGINE FIRE,EMER,Checklist,System Check,Engine fire lights,Check both illuminate,performer,supporter,"Engine fire status, TARS communication status.",,,,,0,is_acked,Check IF both ENGINE FIRE lights ILLUMINATE
ENGINE FIRE,EMER,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,performer,,"Engine status, fire indicators, checklist steps, ATC communication status.",,,,prompt_next_checklist,5,is_acked,ENGINE FIRE checklist completed: Next checklist: Engine Failure / Precautionary Shutdown
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,ANNOUNCE PANPAN AND REQUEST VECTOR,performer,supporter,"Current aircraft status, ATC frequency, emergency nature.",,,,allow_comm,2,is_acked,"Pan-Pan, Pan-Pan, Pan-Pan, Montreal Tower, Cessna Papa Oscar Lima Yankee, single engine operation after engine failure, {altitude} feet, {position_compared_to_initial}, {heading} degrees.  requesting vectors for immediate return to runway {RUNWAY_NUMBER}"
DECLARE PANPAN,EMER,SOP,ATC Communication,ATC,READBACK,performer,supporter,,,,,,38,0,"Turning right heading one-five-zero, descending to three thousand, expect ILS runway two four right, C-POLY."
DECLARE PANPAN,EMER,SOP,Navigation,Heading,SET ACCORDINGLY,performer,supporter,,,,,,0,is_acked,Will set heading to three-three-zero on your approval
DECLARE PANPAN,EMER,SOP,Navigation,Altitude,SET ACCORDINGLY,performer,supporter,,,,,,0,is_acked,Will set altitude to three thousand on your approval
AFTER TAKEOFF,NORM,SOP,Checklist Mgmt,Checklist,ORDER START,performer,,"Aircraft configuration, engine status, flight path, checklist items.",,,,prompt_start_checklist,5,is_acked,Starting After Takeoff Normal Checklist
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR Handle,UP,supporter,performer,"Gear status, airspeed, altitude.",,,,,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,Parameter Check,Airspeed,CHECK V2 + 10,,performer,"Current airspeed, V2 speed, aircraft configuration.",,,,,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,Environment Check,Obstacles,CHECK CLEAR,performer,,"Obstacle proximity, aircraft altitude, climb rate.",,,,,5,is_acked,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,FLAP Handle,UP,,performer,"Flap position, airspeed, altitude, and climb rate.",,,,,0,is_acked,Retract flaps
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,THROTTLES,CLB Detent,performer,supporter,"Throttle position, climb rate, engine performance data.",,,,,0,is_acked,Set Throttles to Climb detent
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Yaw Damper,AS DESIRED,performer,supporter,"Yaw damper status, aircraft attitude, flight phase.",,,,yaw_damper_as_desired,5,is_acked,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Anti-Ice/Deice Systems,AS REQUIRED,performer,supporter,"Outside air temperature, wing surface status, system activation status.",,,,anti_ice_systems_as_required,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,AS REQUIRED,performer,supporter,"PAX SAFETY switch position, checklist status.",,,,pax_safety_switch_as_required,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS REQUIRED,performer,supporter,"Landing light switch position, current flight phase.",,,,landing_light_as_required_after_takeoff,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,System Check,Pressurization,CHECK,,performer,"Cabin altitude, differential pressure, system status.",,,,pressurization_check,2,5,Checking pressurization
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,,performer,"Current altitude, transition altitude, standard pressure setting.",,,,,0,5,Will set altimeter to Standard Pressure when reaching transition altitude = {TRANSITION_ALTITUDE} feet
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,performer,,"Current altimeter setting, transition altitude.",,,,,0,is_acked,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,performer,,"Checklist items, task status, aircraft configuration.",,,,,0,is_acked,After TAKEOFF checklist completed
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,performer,supporter,"Engine status, autopilot mode, ATC communication status.",,,,prompt_next_checklist,0,is_acked,Next Checklist : ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,performer,supporter,"Engine status, fuel levels, system alerts.",,,,prompt_start_checklist,5,5,Starting ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,performer,supporter,"Engine RPM, fuel flow, oil pressure, and temperature.",,,,,0,is_sensed,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,,performer,"Engine status, checklist steps, ATC communication status, autopilot engagement.",,,,,0,45,"""If possible, the engines should remain at idle for a minimum of two minutes prior to shutdown to allow the engine inter-turbine temperatures to stabilize and avoid turbine blade rub.
If the engine windmills for more than fifteen minutes without a positive indication of oil pressure, a notation is required in the engine logbook and the engine must be inspected in accordance with the
pratt and whitney engine maintenance manual.
If the engine windmills for more than fifteen minutes with the firewall shutoff closed or the boost pump turned off, the engine fuel pump must be inspected in accordance with the Pratt and Whitney Engine
Maintenance Manual."""
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,performer,supporter,"GEN switch status, engine parameters, checklist steps.",,,,,0,is_acked,GEN Switch {engine_failed_side} OFF
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,performer,supporter,"Ignition switch status, engine performance data.",,,,,0,is_acked,GEN Switch {engine_failed_side} NORM
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),supporter,performer,"Current electrical load, available systems to shed, load reduction targets.",,,,,0,is_acked,Checking electrical load
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,performer,,"Fuel levels, transfer knob position, engine status.",,,,,0,is_acked,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,performer,supporter,"ENGINE FIRE switch status, engine parameters.",,,,,0,is_acked,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,performer,supporter,"Engine status, checklist steps, autopilot settings, ATC communications.",,,,prompt_next_checklist,0,is_acked,"Checklist finished, Next checklist Single-Engine approach and landing"
